gene_id	logFC	logCPM	LR	PValue	FDR	FC	entrez_id
Sdhc	-0.522845119	6.026500713	4.492948792	0.034034922	0.074205464	-1.436785922	66052
Hsd17b12	-0.493249408	6.400178572	4.492621608	0.034041436	0.074208103	-1.407611697	56348
Fmo2	-1.731256835	3.358458946	4.491981554	0.034054183	0.074224327	-3.320169361	55990
Lhfpl5	-0.874867523	1.92467051	4.489391872	0.034105808	0.074325272	-1.833839685	328789
Proca1	-1.252937653	0.746083903	4.488134291	0.034130907	0.074351227	-2.383262152	216974
Fam162a	0.50034693	5.300766207	4.488088985	0.034131812	0.074351227	1.414553684	70186
Tssc4	0.583146001	4.948663848	4.487996502	0.034133658	0.074351227	1.498112536	56844
Armc6	0.582575727	4.826597784	4.486823982	0.034157079	0.074390663	1.497520473	76813
Ttll1	0.581788131	4.505650425	4.481613418	0.034261363	0.07460617	1.49670317	319953
Ubr1	0.46558537	6.933783562	4.481341831	0.034266807	0.074606416	1.380877528	22222
Msantd1	1.145554764	1.778759957	4.477851396	0.034336862	0.074735289	2.212311851	403174
Bdp1	0.481280158	7.196015314	4.477599673	0.03434192	0.074735289	1.395981825	544971
Naip6	-1.485947798	3.323078218	4.477594629	0.034342022	0.074735289	-2.801011289	17952
Gas2l3	0.609248232	6.217050651	4.475718947	0.034379735	0.074805728	1.525464105	237436
Acbd5	-0.477128992	6.121761918	4.475098074	0.034392229	0.074821277	-1.391970843	74159
Dbh	-0.72096515	6.539433645	4.474724	0.034399758	0.074826024	-1.648284353	13166
Gm2115	1.079665874	2.666588462	4.470225674	0.034490436	0.075011605	2.113546531	100039239
Hist1h2bl	0.886641097	7.512414315	4.469742757	0.034500185	0.075021149	1.848866552	319185
Rapgefl1	-0.902262134	2.386649428	4.469379428	0.034507523	0.075025445	-1.868994254	268480
Wbp1l	-0.504942221	5.669658703	4.4684088	0.034527132	0.075056416	-1.419066522	226178
Ndufa4l2	-1.18585946	2.253014948	4.466955833	0.034556507	0.075108605	-2.274988827	407790
Mrpl21	0.559675748	4.670147835	4.465168547	0.034592677	0.075175544	1.473937906	353242
F8	-1.070815797	4.33442206	4.463036698	0.034635872	0.075257725	-2.100620864	14069
Nras	0.473709482	7.002280385	4.462326562	0.034650273	0.075277327	1.388675467	18176
Hist1h3a	0.875410926	7.555707135	4.460805047	0.034681149	0.07533271	1.834530545	360198
Sppl2a	-0.549728055	7.336643995	4.459918644	0.03469915	0.075360113	-1.463809745	66552
Mbip	0.569836119	4.319394174	4.459512045	0.034707411	0.075366356	1.484354948	217588
Pdk3	-0.583037852	4.417332546	4.458926143	0.034719318	0.075380514	-1.498000237	236900
Abcf1	0.488399336	6.920545144	4.45858215	0.03472631	0.075383999	1.402887514	224742
Snord17	-0.639023293	7.496000199	4.455891086	0.034781065	0.075491151	-1.557274525	100313519
Amacr	-0.922474739	2.419881429	4.455117322	0.034796826	0.075506276	-1.895363734	17117
Sv2a	0.526897299	4.853942816	4.455019135	0.034798826	0.075506276	1.440827177	64051
Zfp748	0.454455374	5.443416186	4.453889016	0.03482186	0.075544541	1.370265424	212276
Arid4b	0.461831808	6.967833937	4.453187169	0.034836173	0.075561226	1.37728947	94246
Hist1h2bc	0.57261494	8.328129408	4.452982346	0.034840351	0.075561226	1.487216767	68024
Zfp287	0.609636182	4.269481928	4.45122089	0.034876304	0.07562748	1.525874367	170740
Blmh	0.494673062	6.807222893	4.450392154	0.034893233	0.075651194	1.409001416	104184
Gm5801	0.516247009	5.032375493	4.450156265	0.034898053	0.075651194	1.43022984	545056
2610307P16Rik	-0.964401413	1.837681055	4.447388023	0.034954671	0.075753643	-1.951253761	72518
Stk40	-0.573266519	4.642682847	4.447316266	0.03495614	0.075753643	-1.487888605	74178
Kiz	-0.51614242	4.854321354	4.446320987	0.034976521	0.075786072	-1.430126159	228730
Cacnb3	-0.51994958	5.29869182	4.445822884	0.034986725	0.075793076	-1.433905134	12297
Eif1a	0.491061158	7.155414616	4.445455878	0.034994246	0.075793076	1.405478279	13664
Sestd1	0.477118586	6.129716527	4.445370158	0.034996003	0.075793076	1.391960803	228071
Rspry1	0.469331607	5.892445927	4.4441509	0.035021001	0.07583548	1.384467903	67610
A130010J15Rik	0.715979455	3.937995877	4.442803266	0.035048654	0.075883616	1.64259801	319266
Ret	-0.58648692	5.301010596	4.440249508	0.035101117	0.075985448	-1.501585808	19713
Apold1	-0.945833705	2.83721658	4.439892019	0.035108468	0.075989604	-1.926301737	381823
Vps16	0.485865324	6.561865898	4.434941906	0.035210418	0.076198481	1.400425584	80743
BC029722	-0.843047997	4.047449996	4.43372898	0.035235446	0.076240853	-1.793835997	613262
Pam16	0.567178693	4.434947849	4.432599917	0.03525876	0.076279504	1.481623301	66449
Abhd13	0.453479181	6.128742909	4.43162118	0.035278984	0.076311457	1.369338554	68904
Nsun5	0.682817329	3.925388119	4.430937718	0.035293113	0.076330221	1.605271508	100609
Hist1h2bp	0.921338463	6.831030673	4.429400432	0.035324915	0.076382555	1.893871522	319188
C7	-1.821385644	1.831114015	4.42924036	0.035328228	0.076382555	-3.534204801	109828
Hist3h2a	0.820395422	7.985048972	4.427068528	0.035373213	0.076460978	1.765889931	319162
Larp4b	0.469536209	7.254188981	4.426826653	0.035378226	0.076460978	1.384664261	217980
Msi2	0.491839287	7.206515433	4.426698015	0.035380893	0.076460978	1.40623654	76626
Klhl2	0.464723149	5.455443769	4.425439863	0.035406986	0.076505552	1.380052498	77113
Ttll3	-1.016408059	1.698406009	4.422802685	0.035461744	0.076612041	-2.022876241	101100
P2rx2	1.329101688	0.632129526	4.421985362	0.035478733	0.076630959	2.512461846	231602
Usp42	0.496333947	5.675738671	4.421790123	0.035482793	0.076630959	1.410624446	76800
D130020L05Rik	-0.912542537	1.377927044	4.421591148	0.03548693	0.076630959	-1.882359958	319760
Phlpp2	0.547160662	4.862719871	4.421210136	0.035494855	0.076636245	1.461207093	244650
Srp72	0.465226004	7.586266732	4.420921232	0.035500865	0.076637157	1.380533603	66661
Hist1h3d	0.864735205	7.93247857	4.420663323	0.035506231	0.076637157	1.821005406	319149
Mar-05	0.508415782	7.169997619	4.419600489	0.035528354	0.076673081	1.42248731	69104
1110059E24Rik	0.472085093	5.472899243	4.415075299	0.035622706	0.076864847	1.387112781	66206
Calb2	1.155627452	2.372923088	4.414032529	0.035644486	0.076899983	2.227811939	12308
Stub1	0.489045	6.49415421	4.411866405	0.035689772	0.076985816	1.403515503	56424
Dcun1d2	0.513724794	5.07768973	4.409098658	0.035747725	0.077098938	1.427731602	102323
Mrpl22	0.646048975	4.045785898	4.406315171	0.035806106	0.07721295	1.564876685	216767
Rpl14	0.496762047	8.945469573	4.402255664	0.035891429	0.077385017	1.411043092	67115
Kifc5b	0.839933488	4.431027126	4.398140972	0.035978129	0.07756	1.789967618	16580
Poldip2	0.453130349	6.319329645	4.396554207	0.036011622	0.077620245	1.369007499	67811
Mmp11	-1.100317999	3.015884894	4.394975945	0.036044968	0.077654004	-2.144019458	17385
Prpf18	0.451963089	6.246883192	4.394931568	0.036045906	0.077654004	1.367900306	67229
Riiad1	-1.052778389	1.28210402	4.39477883	0.036049135	0.077654004	-2.074521183	66353
Hnrnpf	0.488966055	8.764097608	4.394762394	0.036049483	0.077654004	1.403438705	98758
Ppif	0.578669498	4.394843708	4.394343909	0.036058331	0.077661109	1.493471284	105675
Serf1	0.597543805	4.532928058	4.389434862	0.036162298	0.077873043	1.513138248	20365
Rgs16	-1.013996896	3.571285317	4.388215403	0.036188173	0.077916773	-2.01949825	19734
Fam78b	-0.847379216	2.616655213	4.387501812	0.036203323	0.077937401	-1.799229493	226610
Dbpht2	1.290537493	1.261731735	4.387116586	0.036211505	0.077943022	2.446191743	386753
Zadh2	-0.585754022	4.776629281	4.385074254	0.036254913	0.078024453	-1.500823187	225791
Kirrel3	0.807246699	3.179890476	4.38357567	0.036286799	0.078081066	1.74986873	67703
Ctdp1	0.48302363	5.632586668	4.381869429	0.036323138	0.078147244	1.397669864	67655
Mrpl37	0.496160817	5.305469156	4.380892881	0.036343954	0.078180008	1.410455175	56280
Ttc25	-1.431586325	0.761250991	4.380337132	0.036355806	0.078183592	-2.697431502	74407
Ntng1	0.649546314	3.87127027	4.380290762	0.036356795	0.078183592	1.568674815	80883
Rp9	0.546262829	4.796407218	4.376290714	0.036442221	0.078355254	1.460298022	55934
Rnf145	0.477720911	7.007362062	4.374608771	0.036478203	0.078420572	1.392542067	74315
Ndufaf6	0.763051937	3.184433736	4.373936933	0.036492587	0.078439442	1.697076897	76947
Esyt3	-0.905437344	1.996284383	4.372562753	0.036522025	0.078478997	-1.873112232	272636
Catsper2	-1.027936249	0.987774531	4.372554308	0.036522206	0.078478997	-2.039105258	212670
Chst12	-0.761367521	3.042353031	4.371895452	0.036536329	0.078497291	-1.695096634	59031
Rbm4	0.471880958	5.933589264	4.368578391	0.03660752	0.07863369	1.386916525	19653
Tomm20	0.50830327	8.593969723	4.368413892	0.036611055	0.07863369	1.422376378	67952
Tbl2	0.513091342	5.009347219	4.367221007	0.036636695	0.078670576	1.427104858	27368
Abcb7	0.489721338	6.660179892	4.367091794	0.036639473	0.078670576	1.404173628	11306
Cnot10	0.474928595	6.291382539	4.365963148	0.036663751	0.078700972	1.389849429	78893
Atp6ap1	-0.514175032	6.883527408	4.365910806	0.036664878	0.078700972	-1.428177239	54411
Smpd5	-1.001013457	0.969965535	4.361476937	0.036760421	0.078893954	-2.001405443	100503915
5730409E04Rik	-0.767577408	3.256724026	4.360470779	0.036782139	0.078928458	-1.702408675	230757
Abhd12	-0.50261024	6.427088292	4.35983446	0.036795881	0.078939387	-1.416774588	76192
Ankdd1b	0.867665701	2.539290559	4.359464578	0.036803871	0.078939387	1.82470811	271144
Rnf2	0.46821504	6.683244718	4.359451363	0.036804156	0.078939387	1.383396815	19821
Nom1	0.449578172	5.6094496	4.358157707	0.036832117	0.078987251	1.3656409	433864
Cacng4	0.72716404	4.081118647	4.355406093	0.036891663	0.079102825	1.655381845	54377
Lonp1	0.499724146	6.964999773	4.354532222	0.036910595	0.079131293	1.41394318	74142
Gper1	-1.015048254	1.625572504	4.351355801	0.036979496	0.079266864	-2.020970487	76854
Ctbp1	0.479830119	7.634728999	4.349474621	0.037020365	0.079342314	1.394579441	13016
Zfr	0.465776736	7.713798304	4.348729713	0.037036561	0.07936487	1.381060706	22763
Rpa1	0.486255437	6.672732336	4.347893717	0.037054747	0.079391682	1.400804319	68275
Urb1	0.533961577	5.55870774	4.346566557	0.037083636	0.079441415	1.44789961	207932
Hist1h3i	0.836747666	8.335912408	4.345568388	0.03710538	0.079463045	1.786019294	319153
Rpl15	0.504389979	9.515297054	4.345523269	0.037106363	0.079463045	1.418523429	66480
Yme1l1	0.475659283	8.216697343	4.345321055	0.03711077	0.079463045	1.39055353	27377
Aff3	-0.732816025	4.620323705	4.344878153	0.037120423	0.079471555	-1.661879784	16764
Mecp2	0.481952618	6.668124318	4.343207489	0.037156861	0.079537396	1.396632663	17257
Slc27a3	0.941994201	3.990603094	4.341717623	0.037189388	0.079590637	1.921182006	26568
Ncapd3	0.558646329	6.674671744	4.34154726	0.037193109	0.079590637	1.47288657	78658
Prkag2	0.548074957	4.804157703	4.34072839	0.037211001	0.079616749	1.462133414	108099
Camk2a	-0.86512031	2.127718666	4.338767601	0.03725388	0.079696306	-1.82149156	12322
Notch4	-0.805015221	4.100689573	4.335099179	0.037334241	0.079856012	-1.747164225	18132
Magi2	0.699643555	5.152778047	4.33423097	0.037353286	0.079884539	1.624103478	50791
Lap3	0.503330442	7.018918722	4.332848534	0.037383634	0.079937223	1.417482027	66988
Dhx33	0.461242323	5.928049195	4.332018471	0.037401867	0.079959259	1.376726824	216877
Cand1	0.469621322	8.239271414	4.331859171	0.037405368	0.079959259	1.384745953	71902
Aff4	0.476656243	8.870028029	4.331323826	0.037417134	0.079972194	1.391514791	93736
Prepl	0.450031805	6.384170424	4.329905322	0.037448329	0.080026644	1.366070373	213760
Ccdc148	-1.032110146	2.646996501	4.327023798	0.037511782	0.080150002	-2.045013187	227933
Glmn	0.587144051	4.360310216	4.3264899	0.037523551	0.080162908	1.502269919	170823
Syt6	-0.850099902	3.740213882	4.326159784	0.03753083	0.080164088	-1.802625747	54524
3110062M04Rik	-0.659834611	3.585440712	4.32580482	0.037538658	0.080164088	-1.579901495	NA
Zfp553	0.528730497	4.863862793	4.3256855	0.03754129	0.080164088	1.442659165	233887
Atrx	0.482132138	8.976775117	4.324839506	0.037559956	0.08019171	1.396806462	22589
Igsf21	0.653956077	5.332326067	4.323018977	0.037600157	0.080265294	1.573476985	230868
Klhl1	1.391310462	1.981388152	4.320460283	0.037656735	0.080373809	2.623168463	93688
B4galt6	0.509122422	6.147762338	4.320055094	0.037665703	0.080380689	1.423184223	56386
Pole	0.777613725	6.927709977	4.319150224	0.037685737	0.080411181	1.714293018	18973
Adcyap1r1	0.555078464	7.044241589	4.314772903	0.037782814	0.080604684	1.469248539	11517
Dtnbp1	-0.48775688	5.238028057	4.314458537	0.037789796	0.080604684	-1.402262924	94245
Rab23	0.553548031	4.7334651	4.314282476	0.037793706	0.080604684	1.467690765	19335
Abtb1	-0.683423712	3.631722983	4.308571472	0.037920792	0.080854002	-1.605946366	80283
Fam213b	-0.680089969	3.751553878	4.308510029	0.037922162	0.080854002	-1.602239671	NA
Nmt2	0.435235785	6.281876964	4.305671839	0.037985489	0.080976683	1.352131799	18108
Papss2	-1.072433571	3.773914852	4.303263911	0.038039302	0.081078711	-2.102977728	23972
Nup210	0.720493216	6.827227602	4.303011937	0.038044938	0.081078711	1.647745255	54563
Rnf20	0.439248905	6.614358435	4.300626859	0.038098328	0.081180128	1.355898237	109331
Cd1d1	-0.67762481	4.22048516	4.297268476	0.038173638	0.081328215	-1.599504233	12479
Tstd2	0.483006358	5.409112577	4.295086227	0.038222658	0.081420254	1.397653131	272027
Gm5643	1.002936231	3.455954873	4.294733899	0.038230578	0.081424731	2.004074625	434858
Fbxl19	0.56691933	5.575041936	4.292604862	0.038278477	0.081514339	1.481356964	233902
Rsrc1	0.494001688	6.81392057	4.290665338	0.038322166	0.081594959	1.408345874	66880
Tacc2	-0.642427768	6.030054745	4.288016758	0.038381912	0.081709737	-1.560953724	57752
Hist1h2ak	0.857776278	7.704588458	4.287442528	0.038394878	0.081724906	1.812242826	319169
Ddc	0.569010032	8.267432208	4.285017982	0.038449676	0.081829097	1.483505249	13195
Mybl1	0.592232868	5.273520994	4.283967182	0.038473451	0.081867244	1.507578231	17864
Pip5kl1	-1.09034661	0.503918523	4.28347414	0.038484611	0.081878541	-2.12925186	227733
Wnt3	0.893321613	1.962124786	4.283188186	0.038491086	0.081879866	1.85744773	22415
Fam171a1	-0.549737537	4.800493507	4.280540352	0.038551091	0.081983867	-1.463819365	269233
Gm15713	-1.190340463	0.699733564	4.280513791	0.038551693	0.081983867	-2.282065914	626693
Dennd6a	0.445616662	6.577108236	4.279852458	0.038566696	0.082003309	1.361896117	211922
Scg3	0.491001713	6.333260617	4.276535719	0.03864203	0.082151007	1.405420369	20255
Pmm2	0.519301071	4.893378317	4.274492878	0.038688507	0.08223732	1.433260722	54128
Hist1h2ai	0.858843426	8.388398355	4.271079109	0.038766304	0.082390172	1.81358382	319191
Ddx52	0.462765533	6.014602028	4.268472276	0.038825823	0.082503382	1.378181153	78394
6030419C18Rik	-0.954785873	2.435689898	4.268229797	0.038831364	0.082503382	-1.938291928	NA
Lzts2	-0.512982175	5.48811093	4.266538246	0.038870042	0.082573021	-1.426996874	226154
Tfg	0.440559059	6.329396688	4.265618699	0.038891084	0.082605183	1.357130127	21787
Fam135b	1.189971395	1.552697838	4.264558562	0.038915359	0.082644198	2.281482196	70363
Ube2q1	0.427314891	6.5018789	4.261065567	0.038995454	0.082801727	1.34472847	70093
Pcdh15	0.582648603	4.198251096	4.25544151	0.039124777	0.083063723	1.497596121	11994
Map2k3	-0.651414115	4.400794812	4.255157309	0.039131324	0.08306502	-1.570707033	26397
Jmjd6	0.553238578	5.415013439	4.254005066	0.039157879	0.083103886	1.467375983	107817
Slc35e2	0.462667043	5.550205285	4.253847545	0.039161511	0.083103886	1.37808707	320541
Smg8	0.49714768	4.823279411	4.253102614	0.039178691	0.083127737	1.411420315	74133
Nme2	0.514606915	7.819292245	4.251309561	0.039220076	0.08320293	1.42860484	18103
Fam135a	0.471155376	6.520268554	4.250323958	0.039242844	0.083238611	1.386219171	68187
Socs1	-1.219442806	2.815385031	4.249179936	0.039269289	0.083282079	-2.328567666	12703
Mynn	0.449203785	5.561198911	4.247894679	0.039299021	0.083332504	1.365286555	80732
Actr1a	0.479125422	7.491931509	4.245154161	0.039362496	0.083454455	1.393898413	54130
Pcx	-0.962417114	5.933612387	4.243143275	0.03940914	0.08354069	-1.948571829	18563
H2afy	0.481670155	7.347794483	4.241352442	0.039450729	0.083616184	1.396359245	26914
Rybp	0.445108494	5.990641886	4.239554572	0.039492527	0.083679786	1.361416494	56353
Pms1	0.592252862	4.176463735	4.23954727	0.039492697	0.083679786	1.507599124	227099
Snrnp35	0.630495686	3.761557765	4.234600223	0.03960795	0.083908558	1.548096802	76167
Golga7b	-1.162270493	1.042882474	4.234398459	0.039612659	0.083908558	-2.238093786	71146
Tbccd1	0.575298113	4.115498198	4.234058572	0.039620591	0.083912658	1.489985316	70573
Fbxl7	-0.853223099	3.37696951	4.233382294	0.039636379	0.083933392	-1.806532362	448987
Zfp324	0.533233625	4.622355394	4.23251203	0.039656706	0.083963729	1.447169217	243834
Cd2bp2	0.445662088	6.627056463	4.231959079	0.039669627	0.083970631	1.361939001	70233
Ddx19a	0.478044336	5.750820014	4.231858929	0.039671968	0.083970631	1.392854284	13680
Pno1	0.497493899	5.515998615	4.231563702	0.039678868	0.083972536	1.411759069	66249
4932418E24Rik	0.902686291	3.436236138	4.230560365	0.039702331	0.084009483	1.869543825	NA
Ptpmt1	0.536262439	4.658065044	4.230182652	0.039711167	0.084015476	1.450210615	66461
Gm17757	-2.452531864	5.119696181	4.229321504	0.03973132	0.084045407	-5.4737588	NA
2310047M10Rik	-0.700792248	3.229492732	4.227177273	0.039781549	0.084138938	-1.625397125	NA
Plagl1	-0.755341802	4.691411759	4.225609153	0.039818324	0.084195924	-1.688031472	22634
Klf16	0.693695387	4.322612883	4.225515285	0.039820526	0.084195924	1.617421156	118445
Cops5	0.471612342	6.590702257	4.22402247	0.039855571	0.08425729	1.386658318	26754
Bend3	0.551506277	4.895303876	4.222939356	0.039881017	0.08429835	1.465615104	331623
Hba-a2	-1.846471915	8.843511945	4.220662338	0.039934569	0.084398796	-3.596196654	110257
Actb	-0.489401265	12.05031512	4.219619937	0.03995911	0.084427554	-1.403862136	11461
Mrps18c	0.536946608	4.827298416	4.219304524	0.039966539	0.084427554	1.450898512	68735
6330416G13Rik	-0.608626637	3.994990103	4.219247841	0.039967874	0.084427554	-1.524806989	NA
St6galnac2	-0.980632557	2.907238572	4.219059508	0.039972311	0.084427554	-1.973330436	20446
Map4k4	0.486198778	8.29973508	4.218800435	0.039978415	0.084427702	1.400749306	26921
Ppp2r2d	0.472741498	5.670734432	4.218354901	0.039988914	0.084437131	1.387744041	52432
Wdsub1	-0.613210456	3.692620531	4.21709297	0.040018667	0.084487208	-1.529659404	72137
Rnft2	0.673331423	4.817394726	4.216219703	0.040039271	0.084517954	1.594751265	269695
Srsf11	0.478785959	7.195645855	4.215551314	0.040055048	0.084538504	1.393570471	69207
Dpysl5	0.658221735	6.177387195	4.208001774	0.040233706	0.084902767	1.578136214	65254
Zbtb12	0.55926275	4.668681301	4.204007892	0.040328558	0.085090096	1.473516025	193736
Wdr48	0.445209277	6.400535043	4.200460297	0.040413008	0.08524366	1.361511602	67561
Hist2h2be	-0.753899979	2.612864763	4.200438655	0.040413524	0.08524366	-1.686345303	319190
Hspa9	0.503651909	8.709106194	4.200013679	0.040423653	0.085252175	1.417797911	15526
Astn1	0.519362213	6.143255877	4.199154265	0.040444145	0.085282538	1.433321465	11899
Anks1b	-0.824043232	2.458614846	4.195894052	0.040521981	0.085433792	-1.770360579	77531
Ankrd10	0.460529988	6.294744964	4.195306063	0.040536035	0.085442818	1.376047229	102334
Ahcyl1	0.452929619	7.747234794	4.195204062	0.040538474	0.085442818	1.368817035	229709
1110004E09Rik	0.594302352	4.144987449	4.194598089	0.040552965	0.085460487	1.509742339	NA
Smpdl3b	0.87193961	2.952387717	4.194202193	0.040562435	0.085467573	1.830121728	100340
Mettl10	0.570048429	4.295295131	4.193744167	0.040573394	0.085477793	1.484573405	NA
Akr1c14	-1.251010393	2.933661053	4.192607555	0.040600603	0.08552224	-2.380080539	105387
Prss35	-1.975291614	3.593906785	4.18799751	0.040711159	0.08574221	-3.932077111	244954
Ext2	-0.446728364	5.778512799	4.186978164	0.040735647	0.085780873	-1.362945962	14043
Frmd7	0.754881025	3.954160964	4.186457319	0.040748165	0.085794323	1.687492424	385354
Hist1h3g	0.952208583	7.13192223	4.184370011	0.040798373	0.085887113	1.934832374	97908
Afg3l2	0.443885137	5.979103581	4.183395948	0.040821826	0.085911853	1.360262548	69597
Qars	0.436407078	6.523750684	4.183358367	0.040822731	0.085911853	1.353230011	97541
Dnajc8	0.440807993	6.626561437	4.183117013	0.040828544	0.085911853	1.357364318	68598
Gm12191	0.474602068	7.454145873	4.182449096	0.040844637	0.085932792	1.389534898	666899
Tbl1x	0.439697677	6.051286861	4.18150286	0.040867446	0.085967855	1.356320075	21372
Trmt10b	0.59392396	4.090603441	4.180554598	0.040890318	0.085981066	1.509346413	69934
Tbc1d12	-0.516934594	4.800579605	4.180497545	0.040891694	0.085981066	-1.430911647	209478
Mrps12	0.659087046	4.013745399	4.180478256	0.04089216	0.085981066	1.579083046	24030
Rcc2	0.592757933	7.82273324	4.176572405	0.040986513	0.086166509	1.50812701	108911
Ercc3	0.477087897	5.190843675	4.175576801	0.041010601	0.086204197	1.391931193	13872
Csad	-0.660540508	4.147482834	4.173591528	0.041058676	0.086292289	-1.580674715	246277
Diap1	-0.556432903	6.157832198	4.172859239	0.041076425	0.086316625	-1.470628555	NA
Mmadhc	0.473181935	5.712687521	4.172442784	0.041086522	0.086324879	1.388167767	109129
Arhgap36	1.03530973	6.824912615	4.169143165	0.041166613	0.086480171	2.049553614	75404
Nap1l4	0.478926863	7.265270755	4.168116072	0.041191578	0.086513968	1.393706583	17955
Pinx1	0.728735202	3.230077221	4.167972569	0.041195067	0.086513968	1.657185614	72400
St13	0.462126963	7.288425841	4.163833865	0.041295831	0.086712569	1.377571273	70356
4732471J01Rik	-1.068267685	1.127894576	4.163481821	0.041304414	0.086717579	-2.096913988	654804
Usp29	0.618622571	4.639055614	4.161203873	0.041359997	0.086821248	1.535408533	57775
Txlna	0.481573838	6.948619221	4.160332201	0.041381287	0.086845807	1.396266024	109658
Mipol1	0.812067365	3.005660699	4.160216699	0.041384109	0.086845807	1.755725575	73490
Ift46	0.484785492	5.743830728	4.159346176	0.041405384	0.086877424	1.399377783	76568
Lars2	-0.61649946	5.353739578	4.158301213	0.041430938	0.086902039	-1.533150644	102436
Wbscr16	0.523734012	4.674141385	4.158134197	0.041435023	0.086902039	1.437671446	NA
Pfkfb1	-0.963400117	2.232144247	4.158104626	0.041435747	0.086902039	-1.949899971	18639
Rps25	0.479149931	8.861227363	4.15761307	0.041447774	0.086914237	1.393922094	75617
Sorcs1	-1.017177836	4.688269119	4.155190591	0.041507102	0.087025604	-2.023955873	58178
Dmwd	0.499530758	5.705515003	4.153335334	0.041552599	0.087107943	1.413753658	13401
Alk	-0.871485321	6.702307519	4.153062183	0.041559302	0.087108945	-1.829545532	11682
Tspan5	0.498284762	5.183779264	4.151829497	0.041589566	0.087159322	1.412533185	56224
Serp2	0.675837355	4.207431275	4.151214542	0.041604672	0.087177924	1.597523723	72661
Phb2	0.484661901	7.143074134	4.150702608	0.041617252	0.087191227	1.399257908	12034
Atp8b2	0.45861523	6.990160915	4.149652977	0.041643057	0.087232231	1.374222139	54667
Snx17	0.448686945	6.186681646	4.148343442	0.041675276	0.087275703	1.364797534	266781
Smim13	0.459121959	6.457464324	4.148302496	0.041676284	0.087275703	1.374704902	108934
Trap1	0.469668829	7.156286926	4.147977652	0.041684281	0.087276455	1.384791553	68015
Atad1	0.461265539	7.332052373	4.147781198	0.041689118	0.087276455	1.37674898	67979
Uvssa	-0.525693088	4.490142774	4.146694501	0.041715883	0.08730683	-1.439625027	71101
Zfp873	0.67870099	3.627365503	4.146685471	0.041716106	0.08730683	1.600697829	408062
Bre	-0.496245296	4.853499497	4.145845185	0.041736815	0.087337109	-1.410537768	NA
Parp2	0.49294305	5.633103369	4.14539292	0.041747965	0.08734738	1.407312821	11546
Stxbp5	0.483115294	6.760975691	4.145014309	0.041757302	0.087353854	1.397758671	78808
Ptger3	0.762288737	3.927802192	4.142777918	0.0418125	0.087437164	1.696179364	19218
Crybg3	-0.57653227	4.433993714	4.142729489	0.041813696	0.087437164	-1.491260473	224273
Psmb5	0.502029358	5.740131401	4.142611538	0.041816609	0.087437164	1.416204257	19173
Zbtb40	0.521770569	4.591106794	4.142388409	0.041822121	0.087437164	1.435716172	230848
Gm6710	0.498291994	4.892588989	4.140499589	0.041868811	0.087521702	1.412540267	626832
Dpp3	0.441070783	6.554919514	4.137152489	0.041951682	0.087681836	1.357611586	75221
Cenpl	0.710144871	3.643778941	4.13030869	0.042121667	0.088023967	1.635968387	70454
Drosha	0.505583892	6.511321152	4.129824009	0.042133732	0.088036034	1.419697825	14000
Abcb6	0.513433557	4.794508715	4.129352605	0.042145471	0.088046484	1.427443415	74104
Bpnt1	0.523942014	4.835674235	4.128993207	0.042154423	0.088046484	1.437878739	23827
Nav2	-0.874297692	4.190111766	4.128794247	0.04215938	0.088046484	-1.833115504	78286
Pcyt1b	0.688844187	3.743781017	4.128612718	0.042163902	0.088046484	1.611991556	236899
Bud13	0.719503409	3.340257052	4.128259323	0.042172709	0.088051733	1.646615155	215051
Tmem176b	-0.537698408	6.513235113	4.125548152	0.042240334	0.08817977	-1.451654783	65963
Satb1	0.66400896	6.76963193	4.121117991	0.042351082	0.088397776	1.584479462	20230
Rpl34	0.524324197	5.361816037	4.120793526	0.042359205	0.088401545	1.438259697	68436
Mme	-1.37519493	4.078179095	4.116904025	0.042456708	0.088591816	-2.594029578	17380
Cald1	-0.543470208	8.289454272	4.113780053	0.042535192	0.08874235	-1.457474061	109624
Klhl29	-0.814961064	3.08042517	4.111555077	0.042591183	0.088834239	-1.759250672	208439
Efcab7	0.631375068	4.149345105	4.111525327	0.042591932	0.088834239	1.549040719	230500
Irf2bp1	0.511302428	5.393064216	4.110563382	0.042616164	0.088871532	1.425336372	272359
Xkr7	0.731304425	4.05978008	4.10997348	0.042631031	0.088888871	1.660139442	228787
Tomm22	0.43321269	6.449022806	4.109729439	0.042637183	0.088888871	1.35023703	223696
Ubn1	0.446308291	6.637226619	4.107040222	0.042705037	0.089017069	1.362549168	170644
Mrpl9	0.464621033	5.458124435	4.106234278	0.042725395	0.089046239	1.379954819	78523
Dhodh	0.544676139	4.352474784	4.105739345	0.042737901	0.08905904	1.458692855	56749
Mtdh	0.44444381	7.191545719	4.103693441	0.042789641	0.089153581	1.360789402	67154
2900097C17Rik	-0.508841988	7.899223759	4.103041862	0.042806133	0.089174665	-1.422907608	347740
Mrps34	0.559437542	4.939006964	4.098635818	0.042917829	0.089387716	1.473694561	79044
Tcf3	0.548792579	6.743229364	4.098503841	0.042921179	0.089387716	1.462860885	21423
Ap1b1	-0.44182724	6.947778622	4.097222443	0.042953724	0.089442181	-1.358323618	11764
Psmb4	0.494427521	7.530936128	4.096586365	0.042969888	0.089462527	1.408761631	19172
